skin,age,periode,content,buy,recommend,likes
"Oily, Light, Cool",19 - 24, 3 months - 6 months,"dengan harganya yg affordable bgtt, tekturnya cair bngt dan lumayan cukip gampang nyerep cocok cocok aja si okee gt dikulit minuakan akuu, sukaaa, pokoknya overall oke bagus baik aja si hadalabo belum pernah ada masalah sm produk ini overall oke", Guardian,recommends this product!,0
"Dry, Medium Light, Neutral",19 - 24, More than 1 year,"toner yang sangat amat nyaman dipakai dan sangat amat melembabkan juga, tidak lengket dan mempunyai bau apapun. Tidak ada keluhan seperti wajah menjadi lebih kusam atau berjerawat saat menggunakan produk ini. Sangat amat cocok untuk digunakan daily", Shopee,recommends this product!,0
"Dry, Medium Light, Cool",19 - 24, Less than 1 week,Omggg sumpah ya ini tuh barangnya bagussss bangettt coyyyyy. Aku nyobain pas pertama kali tuh rasanya kek biasa aja gitu ga ada efek apa apa tapi setelah hampir pemakaian 1 bulan jadi kelihatan cerah dan lembab gitu wajahku, Instagram,recommends this product!,0
"Dry, Medium Dark, Neutral",35 - 39, Less than 1 week,"Hada Labo Gokujyun Ultimate Moisturizing Milk ini ampuh banget utk kulit kering aku. Kandungan lotion ini ada 3 Hyaluronic Acid yaitu: Hyaluronic Acid (HA) - mampu meningkatkan hidrasi kulit , Improved Hyaluronic Acid (AcHA)- memberikan kelembapan ekstra lebih dari HA biasa, Nano sized Hyaluronic Acid - melembapkan kulit hingga bagian kulit terdalam. Nah semua kandungan ini akan membuat kulit kita soft banget dan terawat. Tekstur dari lotion ini watery light dan licin di kulit dan cepet banget diserap kulit. Selain itu Hada Labo Gokujyun Ultimate Moisturizing Milk ini tidak mengandung fragrance, pewarna, dan alkohol. Bagi yg mau cobain ayo coba ya jangan ragu karena aku happy banget dengan produk ini.", Shopee,recommends this product!,0
"Combination, Medium Light, Neutral",18 and Under, 1 week - 1 month,"setelah pemakaian beberapa minggu bar terlihat beda nya, muka saya terasa lebih sehat dan kenyal, produk ini di pakai tersa ringgan sekali di muka, harga nya juga terjangkau dan tidak ketergantungan, bagus deh pokok nya :)", Shopee,recommends this product!,0
"Normal, Medium Dark, Neutral",18 and Under, 6 months - 1 year,"ini si aku bagus banget buat ngelembapin, ga ada bau mecem macem. tekstur nya cair dan mudah meresap. isinya pun banyak udah 9 bulan pakai belum habis padahal dipake rutinðâ¨ duku muka ku kasar setelah pake ini 3 bulanan udah mulai agak membaik, tapi dibarengi basic skincare yang lain juga yaa soalnya ini toner pertama aku dan bantu banget si menurut ku", Shopee,recommends this product!,0
"Combination, Medium Light, Neutral",18 and Under, 3 months - 6 months,"pakai ini waktu kulit lagi kering banget bahkan sampek bersisik, awal pemakaian emang kadang gatel-gatel mau di stop cuma sayang karena baru beli. semingguan pemakaian kulit udah berhenti mengelupas, dan produknya juga ga bikin gatal2. efeknya baru terlihat setelah 3 mingguan, kulit jadi lembab dan kelihatan lebih sehat. sayangnya produknya khusus buat melembabkan jadi hyperpegmentasi tidak akan teratasi.", Shopee,recommends this product!,0
"Oily, Medium, Neutral",18 and Under, 3 months - 6 months,"tonernya cukup hydrating kok! teksturnya cair, cepat meresap, isinya lumayan banyak, mudah didapatkan, dan harganya juga pas di kantong pelajar sih hehehðð, aku udah pake 2 botol dan kayak sih bakal repurchase terus nih ð hehhe.....", Tokopedia,recommends this product!,0
"Normal, Medium, Warm",18 and Under, 1 month - 3 months,"wanginya hampir ga ada, tekstur aga runny cair gitu, ga lengket, formulanya ringan di muka karena bukan yg gel gitu kan, trus packingnya aman cuma kalo di tas kdg2 kalo kegencet aga takut lepas cekrepannya, efek di muka jd lebih lembab dan kerasa terhidrasi aja si, gk ngasih hasil glowing yg berlebih cling2 gitu", Watson,recommends this product!,0
"Dry, Medium Light, Cool",19 - 24, 1 month - 3 months,"Aku coba hadalabo karena liat review orang-orang yang katanya hadabalo ini cocok buat yg skin type nya dry, dna ternyata cocok di kulit akuu. Lotion ini beneran bisa ngelembapin muka sih gais, tapi dikulit aku engga bertahan lama lembab nya:(", Guardian,recommends this product!,0
"Oily, Medium Dark, Warm",25 - 29, 1 month - 3 months,"Biasanya aku pakai yg varian light lotion (strip hijau), tapi waktu itu tonernya udah mau habis dan pas belanja stok varian light lotion lagi kosong jadi aku beli yg varian ini. Efek hydrating nya aku sebenarnya suka, tapi sayangnya setelah beberapa hari pemakaian jadi muncul bruntusan (jerawat kecilÂ²) terutama di bagian dagu. Akhirnya aku hibahkan ke teman aku yg punya dry skin dan kebetulan emang cocok pakai toner Hada Labo yg ini.", Yogya Supermarket,doesn't recommend this product! ,0
"Combination, Medium, Neutral",18 and Under, 1 week - 1 month,"aku baru pake ini sekitar sebulanan, sejauh ini gabikin efek negatif sih di mukaku. dia tuh teksturnya cair licin2 gitu dan gampang meresap di kulit, bikin ngelembapin muka ku jugaa, yang pasti bakal repurchase sih kalo efeknya lebih bagus lagi kedepannya hehe", Shopee,recommends this product!,0
"Oily, Medium, Neutral",19 - 24, 1 month - 3 months,"hydrating toner yang bener-bener melembabkan,apalagi di pakai setelah exfo,but di aku dia nimbulin bruntusan setelah aku cari tau ternyata dia ga fungal acne save, dia juga bikin kusam di wajah aku yang berminyak ini,tapi ini emang enak banget kayak air biasa gitu,menyegarkan banget,repurchase?kayanya aku mau nyoba yang lain dulu", Brand website,recommends this product!,0
"Combination, Medium Light, Neutral",19 - 24, 3 months - 6 months,"Udh abis botol yang kesekian kalinya, seneng pake ini karna dia cepet meresap trus cocok dikulit lumayan melembabkan jugasih ya walaupun harus ttp ditambah moisturizer. Dari pemakaian pertama alhamdulillah cocok dimuka, selalu pake tonernya dia kaya masuk ke top fav product apalagi klo lagi breakout mukanya", Shopee,recommends this product!,0
"Oily, Medium Light, Warm",25 - 29, Less than 1 week,Dapet ini pas beli travel sizenya gokujyun. St ku sebenernya oily tp pas pake ini kebeneran kulitku lagi agak dehidrasi (lg agak BO mau mens dan lagi sering pake acnespot BHA di beberapa titik). Secara tekstur gabeda jauh sama toner yg buat oily bedanya toner oily kayak air banget kan ya ini msh ada keliatan lebih kental sedikit aja kalo dibandingin sama yg buat oily. Tapi tetep gaada aroma . Kandungannya masih di HA aja . Pake ini karena pas juga mukaku lg dehidrasi bikin mukaku berasa jauh lebih lembab. Masih aku pake sampe sekarang jg sambil nunggu toner yg kubeli online sampe ð, Guardian,recommends this product!,0
"Combination, Medium, Neutral",19 - 24, More than 1 year,"a must have product!!! pake ini malem2, paginya muka bener2 kinclong, lembab, halus, and others. sumpah bener2 bagus sampe gabisa aku deskripsiin, lol. light bgtttt dan gampang bgt menyerapp. no weird smell dan yaaa udah repurchased terusss. ini botol ke 11 akuuu <3", Watson,recommends this product!,0
"Combination, Medium, Neutral",25 - 29, 3 months - 6 months,"Kebetulan pake fw nya Hada Labo jadi coba2 toner nya juga. Untuk harga super terjangkau ya, tekstur nya cair bening & lumayan gampang nyerap dikulit, tapi dikulitku malah bikin kusam & sedikit lengket. Kalo untuk menghidrasi lumayan lah.", Shopee,recommends this product!,0
"Combination, Medium, Neutral",25 - 29, Less than 1 week,toner ini biasa banget bekerjanya di mukaku. itâs nothing for me. sangat sangat tidak sukaa. facial washnya cocok padahal dikulitku. dan padahal banyak yang rekomendasiin toner iniiii. kayanya emang cocoknya buat yang skintypenya dry., nyoba punya ade,doesn't recommend this product! ,0
"Normal, Medium, Neutral",18 and Under, More than 1 year,"ini emg agak ngebingungin ya namanya tapi ini tuh hydrating tonerrrr, aku gapernah coba toner yg fungsinya itu bener-bener toner. dan akhirnya aku coba beli ini as my first hydrating toner and i love it!! teksturnya kaya air cuma sedikittt lebih kental dan gaada warna+bau which is good. formulanya jg gentle bagus buat kalian yang mau benerin basic skincare", Shopee,recommends this product!,0
"Dry, Dark, Neutral",19 - 24, Less than 1 week,"Surprisingly, this product works quite well on my skin. Ini produk pertama hada labo yg cocok diaku. Lagi cari toner yg ada hyaluronic acid yg ingredientsnya gak neko"" (tp ini masih mengandung methylparaben) dg harga terjangkau akhirnya nemu dr hada labo. Aku beli di toko skincare di kotaku harganya 38k isi 100ml. Teksturnya kaya essence agak kental tp mudah menyerap kekulit. Hydrating toner ini cukup melembabkan dan kalo dilayer gak berasa berat, terus juga bantu calming redness walaupun harus nunggu 24 jam. Worth it bgt deh aku pake ini tiap hari, tiap habis wudhu, yuyur aku agak sayang kalo pake skincare yg pricey sementara cuma didalem ruangan, terus kaya durasi waktu sholat zuhur ke ashar dst, itu kayak sebentar bgt tp kulit butuh hidrasi jd ini toner mantul bgt sih. Sejauh ini kulitku baik"" saja, malah menurutku jadi kaya gampang menyerap nutrisi"" dari skincare yg ada ingredients activenya.", Traditional market,recommends this product!,2
"Combination, Medium Dark, Neutral",18 and Under, 3 months - 6 months,"gilaa ga expectt bakal sebagus inii! hydratingnya pas di st ku combi oily to dry, kulitku yang sensitif juga alhamdulillah fine aja pake inii. Abis pake ini lgsg lembabb kenyal gituu muka, a must have product sii. Bakal repurchase siii fixx ini mahh", Shopee,recommends this product!,0
18 and Under,18 and Under, Less than 1 week,"kulit type yang sensitif udh gontai ganti toner tpi ini menurut ku yg terbaik, aku punya sedikit beruntusan di jidat tpi berangsur membaik berkat produk ini kulit ku jadi makin alus dan sekarang aku jiga nyoba produk hada labo lainnya harganya cukup terjangkau bgt buat pelajar kya aku", shopee,recommends this product!,1
"Oily, Medium Light, Neutral",18 and Under, More than 1 year,"toner yang paling suka bgttð­â¤ï¸ murah bgt terus buat bikin lembab mah juaranya sih aplg buat dry skin yg super kering bgt kek aku bah mantapð, kadang kalo muka lagi rewel merah-merah gitu suka bgt di kompres pake hadalabo ini dan aku pakenya gak tanggung-tanggung karena murah juga, gak ada efek negatif di aku sih jadi recommended bgt", Shopee,recommends this product!,0
"Normal, Medium Light, Warm",19 - 24, 3 months - 6 months,"Toner kesayangan, solusi untuk kulitku yang normal to dry. Setelah make dia kulitku nggak sampai mengelupas area sisi hidung. Terasa lebih sehat dan kenyal. Teksturnya lotion dan harganya terjangkau. Beli yang gedhe cukup banyak menghemat pengeluaran. I highly recomended. ", Shopee,recommends this product!,0
"Combination, Medium, Warm",18 and Under, 3 months - 6 months,"Ini kayaknya best toner deh. Harganya murah, ingredient nya ga aneh-aneh, buat melembabkan ini cukup baik buat semua jenis kulit. Pakai beberapa tetes udah cukup buat seluruh wajah. Kalau lagi ada jerawat juga jadi cepet sembuhnya. Best hydrating toner â¨ð", Shopee,recommends this product!,0
"Normal, Medium, Neutral",19 - 24, 3 months - 6 months,"andalankuuu setiap muka lagi keringg! â¤ï¸ nyaman dipake di mukaa, setelah pake ini muka langsung terasa terhidrasi bangeet. ngga bikin iritasi sama sekali. awet jugaa satu botol di aku ngga abis2, mudah juga didapetinnya di e-commerce atau beauty storee", Shopee,recommends this product!,0
"Dry, Medium Dark, Warm",19 - 24, More than 1 year,BEST BEST BEST EVERRR ð§¡ð­ð­ udah deh apapun masalah kulit ku balik nya kesinii lagi apalagi kalau kulit aku lagi keringggg bgttt ngelupas juga pake ini 2-3hari langsung lembut lembab glowing â¨ð¤© gatau kenapa dari jaman masih sma sampe skrg suka bgtt sama lembabinnya dia + harganya murah meriah mantul! kalau udh bingung mau beli toner apa ujung2nya balik ke dia walaupun sempet viral dan harganya naik ga masuk akal tp tetap ku cintakkk ð§¡, Shopee,recommends this product!,0
"Combination, Medium Dark, Warm",19 - 24, More than 1 year,"ini BAGUS. asli gangerti lagi, harga murah, isi banyak, ga bau aneh2, ngelembabin, gabikin muka iritasi, awet lama abisnya, dipake beberapa tetes juga cukup buat semuka. Packagingnya juga simple banget. gaada cela sih menurut aku. noice.", Shopee,recommends this product!,0
"Combination, Medium Dark, Warm",19 - 24, More than 1 year,"awalnya bingung ini tuh produk jenis apa sih ternyata pas searching ini semacam toner. di kulitku juara banget untuk hydrating toner dengan harga yang terjangkau bikin kulit jadi lembab. teksturnya agak kentel dna cepet nyerep ke kulit. Pake ini pas pagi juga nyaman banget biasanya kalo aku lagi pake toner ini skip moist jadi langsung ke sunscreen, dipake setelah toner exfo juga bagus sih gk nimbulin efek yg aneh2. udah alcohol free, paraben free, dan no colorant tp harganya semurah itu bener2 wort to try", Shopee,recommends this product!,0
"Combination, Medium, Warm",30 - 34, 1 week - 1 month,"Efek dikulit Aku lumayan ngasih hidrasi yang cukup. Tapi ninggalin rasa lengket. Harganya sih affordable. Gampang juga dicarinya. Kalau efek cerahnya, Aku ga ngerasain sama sekali. Atau mungkin pakenya harus lebih lama lagi ya...", Matahari,recommends this product!,0
"Combination, Medium Light, Neutral",18 and Under, 1 month - 3 months,"murah banget dan isinya banyak. it do its job to hydrates very well juga. terus teksturnya ini lebih thick dari yang strip hijau, but even so tetep ga berasa terlalu berat dan greasy di kulit kombinasi normal to oily. nothing too special but nothing to complain about either. dan ini surprisingly abisnya lama banget!! punyaku cuma yang ukuran 30ml dan kupake hampir tiap malem tapi sebulanan baru abis dong? masih lebih suka yang strip hijau karena lebih light tapi boleh lah ini jadi second option.", Shopee,,0
"Combination, Medium Dark, Warm",18 and Under, 6 months - 1 year,"hydarating toner yg emang bikin hydrating bgtt untuk harga segitu worth sih tapi sayang kl dipake pagi bakal greasy dan oily di muka jadi better dipake malam hari aja, gada fragrance dan bahan aneh aneh jadi ga bikin muka rewel, sesuai namanya ya dia emang hydrating aja", Shopee,recommends this product!,0
"Dry, Light, Warm",19 - 24, 3 months - 6 months,"Simpel, gampang dicari, gak repot. Favorit aku banget buat jadi toner. Melembabkan dengan baik, nggak bikin iritasi, murah, pokoknya nggak aneh-aneh. Kalo lagi bingung mau beli toner apa pasti langsung beli ini. Best product buat kalian yang mager eksplor dan pengen yang pasti-pasti aja wkwk", Watson,recommends this product!,4
"Combination, Medium, Neutral",18 and Under, 1 month - 3 months,"gw dah abis 2 botol, sejauh ini sih oke"" aja ga ada nimbulin efek apa"" ya sewajarnya toner aja lah, buat kulit gw yg saat itu kering ini oke sih buat lembabin dan enak banget dikulit ga kerasa berat kek air gitu ", Shopee,recommends this product!,0
"Dry, Medium, Neutral",19 - 24, More than 1 year,"HYDRATING TONER FAVORIT AKU!!!! Awalnya aku salah beli yang orange karna skintype aku oily harusnya beli yang strip hijau tapi pas aku coba yang strip hijau agak kurang nampol hidrasinya jadi aku tiap repurcashe selalu beli yang orange ini. Bener2 menghidrasi kulit, efeknya calming dan gaada baunya. Aman banget pake ini untuk moisture sandwich technique!", Shopee,recommends this product!,1
"Combination, Medium Light, Neutral",18 and Under, Less than 1 week,"aku make ini buat toner, udh dua kali pemakaian malah komedoan di aku, kasar"" gt dibagian hidung. untuk teksturnya sendiri enak bgt licin dan cepet meresapnya. mungkin buat kalian yg ga gampang komedoan boleh dicoba. repurchase? no sih aku", Traditional market,recommends this product!,1
"Combination, Medium, Warm",19 - 24, More than 1 year,"Salah satu essence favorite aku karena selain harganya ramah di kantong performanua juga apik banget! Aku pakai ini sebagai essence jadi pemakaiannya setelah toner, di kulitku yang oily essence ini lembapnya pas! Bener bener cukup menghidrasi kulit gak bikin lengket dan pilling. Packagingnya juga simple banget pakai botol plastik yang kokoh dengan tutup model flip top warna putih. No fragrance jadi aman banget buat kulit yang sensitive sama wewangian yang ada di dalam skimcare!", Shopee,recommends this product!,6
"Combination, Medium, Warm",19 - 24, 6 months - 1 year,"Di aku works bikin lembab. Toner yang oke banget! Nyaman banget karena non alcohol, ga ada ingredients yg bikin iritasi. Ingredients nya simpel gt loh jadi no no iritasi! nyaman polll!!! Tp kadang kalo kulit lagi kering banget, kerasa kurang moist hahaa.. tapi overall oke banget loh! apa lagi murah hehe.. pernah ganti ke yang lain, tapi masih paling suka ini untuk toner. ", Shopee,recommends this product!,0
"Dry, Medium Dark, Warm",19 - 24, 1 month - 3 months,"Toner yg ga neko neko juga! Tapi memang buatku yg dry skin harus berlapis-lapis pakainya, biasanya aku pakai 5 layer wkwk. Biar lembabnya enaakk banget di wajah. Menurutku cukup cepat menyerap dan ga begitu sticky after feelnya. Tipe toner yg enak tapi masih kurang lembab buatku, soalnya jadi boross :"")", Shopee,recommends this product!,0
"Combination, Medium Light, Warm",19 - 24, 1 month - 3 months,"hydrating toner pertama aku, aku udah pake sekitar 2 bulan, ini ngebantu banget buat aku soalnya daerah pipi suka kering tapi pas rajin pake ini Alhamdulillah membaik dan baiknya lagi bruntusan dijidat aku juga udah berkurang", Brand website,recommends this product!,0
"Combination, Medium, Neutral",19 - 24, 3 months - 6 months,"hydrating toner kesukaan ku sih, teksturnya tuh ringan dan enak banget diwajah. pakai dikit aja emang sudah terasa banget lembab nya, gaada aromaÂ² aneh, selain buat lembab wajah juga terasa glowing dan cerah, aku suka sama hasilnya dan aku sdh habiskan sampe 4btl ð", Shopee,recommends this product!,2
"Combination, Medium Light, Neutral",19 - 24, 3 months - 6 months,"Awal pake itu g kerasa efektif, mungkin karena jarang pake, tapi ternyata kumayan enak bangeettt, dan bikin kukit lembab. Ditambah dia itu g ada alkohol, parfume juga jagi aman banget. Untuk kuliy yg kering kayanya kurang menghidrasi sih", Shopee,recommends this product!,0
"Combination, Medium, Warm",18 and Under, 3 months - 6 months,"aku bingung deskripsiinnya gimana.. wkwkw, produknya baguss sih, bikin lembab, dan cocok juga buat skin barrier, tapii aku ngerasa gaada perubahan yang signifikan setelah aku pake 1 botol habis, tapi overall baguss bgt sih buat dry skinn", Shopee,recommends this product!,0
"Dry, Medium, Warm",30 - 34, More than 1 year,Aku udah repurchase ini berkali kali. Cukup menghidrasi kulit keringku. Aku sukanya make ini banyak banyak biar nampol. Toner ini encer dan nggak lengket jadi enak dipakenya. Sebagai basic skincare ini oke banget. Harganyapun nggak mahal. Recommended!, Shopee,recommends this product!,0
"Combination, Medium, Neutral",18 and Under, 1 week - 1 month,"Ternyata yg ini teksturnya lebih sedikit padat ya dari pada yg strip ijo. tapi jujur aku lebih suka yg strip orange ini, walaupun ini toner jenisnya hydrating toner. aku biasannya nggunakin dia pake kapas dan di usap (tidak di gosokÂ²) dan ya dia juga mampu mengangkat sedikit kotoran yg suka masih tertinggal di wajah", Lazada,recommends this product!,0
"Dry, Medium, Warm",19 - 24, 6 months - 1 year,"Cinta banget sama moisturizer ini. Harga nya affordable tapi super melembabkan di kulitku yg kering kerontang. Bener-bener sesuai klaimnya, adem seger di muka, perlu waktu sebentar untuk meresap dan ga habis2 padahal dipake tiap hari", Shopee,recommends this product!,1
"Dry, Medium, Warm",30 - 34, 1 week - 1 month,"Nyesel baru pakai hydrating toner ini. Harganya terjangkau, tapi sama sekali enggak murahan. Di kulit keringku toner ini mantul banget hidrasinya. Soalnya punya 3 HA dalam kandunganngaâ¤. Teksturnya juga ringan banget dan ga ada bebauan yang aneh. Aku pakai toner ini pagi - malam.", Shopee,recommends this product!,5
"Combination, Medium Dark, Warm",19 - 24, 1 month - 3 months,"bagus buat yg kulitnya dehidrasi,, nggak buat komedo,,, nggak buat jerawat... pokonya bagus buat kulit kering... bisa buat kompres wajah di jadiin masker gitu... emang pas selesai make kayak lengket gitu wajah, tapi selang berapa menit langsung hilang dan muka liciiinn banget, halus gitu....", Shopee,recommends this product!,1
"Oily, Medium Light, Neutral",18 and Under, 1 month - 3 months,Hydrating toner paling bestttttttt plusss murahhh tapi kualitass si ga murahann sesudah dipakee hasil nya seger banget kulit juga jadi lebih cerah huhhhhh untungg banget pokoknya beli ini kemaren wkwk gara gara keracunan shopee ni liat ada yang review ini ternyata cocok dimuka aku yang sangat berminyak dan kusam parahhhhhhhhhhhhh harus cobaan pokoknyaa, Beauty Studio,recommends this product!,0
"Combination, Medium Light, Cool",18 and Under, 1 week - 1 month,"sukaa banget sama hydrating toner yang ini ð¤© habis pake ini langsung berasa seger banget ini muka. pas itu aku beli yang starter pack nya, dapet ini yang 20ml, menurut aku segini udah lumayan banyak dan lama abisnya, terus dia juga ga bikin kulit aku iritasi gatel gatel, harganya juga terjangkau ð", Shopee,recommends this product!,1
"Combination, Medium, Neutral",25 - 29, More than 1 year,"Hydrating toner paling murah, dan sangat sangat memberikan kelembaban buat dry skin. sebotol yg isinya 100ml ini kayaknya lama banget habisnya. padahal dipake pagi malem. dan aku gatau udh habis berapa botol buat toner ini. teksturnya agak kental, licin terus bener bener kasi lembab ini dry skin. enak banget buat dipake CSMan sih.", Guardian,recommends this product!,13
"Combination, Medium Light, Neutral",19 - 24, More than 1 year,texture nya mild .. cepat meresap.. harga afrodable... mudah di temukan di mana2 haha...sukaa sih karna tidak bereaksi negative di muka aku... meng hydrasi bgtt di muka akuu .. tapi kalau buat calming jerawatt nggak yh.... recomendedd : yes ðð», Guardian,recommends this product!,4
"Oily, Medium, Neutral",19 - 24, 1 week - 1 month,Teksturnya agak thick tapi cepet meresap. But so sorry tapi di aku lama-lama bikin komedoanð lembab tapi kayanya terlalu lembab di aku yg oily. Tp strip ijo kurang lembab di aku meski oily. Kudu gimana dong wkwkw harganya murah sih tapi apa daya jika ga cocok hahahaha yaudah sih aku juga cuma coba2 aja pas itu. Repurchase? Mmmmm no :((, Shopee,recommends this product!,0
"Combination, Light, Neutral",19 - 24, More than 1 year,ini toner pertama kali aku pake saar mengenal skincare. hadalabo dengan harga terjangkau dan texture yang seperti toner essence enak banget. udh beli 4 atau 5x karena memang senyaman itu pakenya dengan pas kantong SMA pada saat itu. hampir semua toner hadalabo yang ini yang paling cucok. Luv ð, Dan+Dan,recommends this product!,0
"Normal, Medium Light, Warm",19 - 24, 3 months - 6 months,i'd say ini hydrating toner kesukaan. mudah ditemuin dan nggak aneh-aneh di wajah. teksturnya agak kentel karena ini toner essence. wanginya ada sedikit dan lembut banget. aku bisa bilang ini toner rumah karena pakai produk toner apapun aku selalu balik ke sini., Shopee,recommends this product!,0
"Combination, Medium Dark, Warm",19 - 24, More than 1 year,"hada labo strip oren ini bisa dibilang hydra toner terbaik yang pernah aku coba, karena walau claim dia for dry skin tapi sebenernya ga se-hydrate itu di kulitku yang kombinasi HEHE aku pake si hada labo ini di AM dan PM tanpa menimbulkan masalah serius, love it!!!", Guardian,recommends this product!,1
"Combination, Medium Light, Neutral",25 - 29, 1 month - 3 months,"Nyoba upgrade dari Hada Labo Light Lotion dan.. suka banget! Kulitku sebenernya ga kering banget sih, tapi ini cocok juga dipake untuk kulit normal maupun berminyak. Konsistensi sedikit lebih pekat dibanding yang Light Lotion jadi pemakaiannya lebih hemat, 2-3 tetes pun udah bisa dipake semuka-muka. Dengan pemakaian rutin tiap hari, bye-bye kulit bruntusan!", Shopee,recommends this product!,0
"Oily, Medium Light, Neutral",19 - 24, 1 week - 1 month,"Aku sih lebih suka yang strip ijo dari pada yang ini, kalau kalian yang kulitnya kering pasti cocok soalnya bener bener menghidrasi, tapi dikulit aku yang berminyak ini malah bikin berminyak teksturnya cair agak sedikit kental no fragrance dan harganya murce juga gampang di cari dimana mana", Shopee,recommends this product!,5
